"papername" "posttime" "count_of_read" "paperlink"
"100" "影子银行" 2013-06-26 "1024 次阅读" "http://blog.sciencenet.cn/blog-556556-702787.html"
"101" "致终将要跌的中国股市" 2013-06-25 "1696 次阅读" "http://blog.sciencenet.cn/blog-556556-702591.html"
"102" "[转载]栾中校：周小川没那么高根本不存在测试" 2013-06-24 "1339 次阅读" "http://blog.sciencenet.cn/blog-556556-702422.html"
"103" "[转载]牛刀：中国在这场货币混战中面临完败" 2013-06-21 "907 次阅读" "http://blog.sciencenet.cn/blog-556556-701544.html"
"104" "[转载]未来可能比晚清还不堪 结局更类似北宋" 2013-06-20 "1226 次阅读" "http://blog.sciencenet.cn/blog-556556-701075.html"
"105" "可怜的扬州人，躺着也中枪。" 2013-06-17 "2316 次阅读" "http://blog.sciencenet.cn/blog-556556-700285.html"
"106" "[转载]中国超越美国的荒唐数据" 2013-06-16 "1184 次阅读" "http://blog.sciencenet.cn/blog-556556-700136.html"
"107" "人民币对美元汇率" 2013-06-15 "1153 次阅读" "http://blog.sciencenet.cn/blog-556556-699728.html"
"108" "美元对主要货币汇率" 2013-06-14 "1360 次阅读" "http://blog.sciencenet.cn/blog-556556-699287.html"
"109" "一个跳空低开，把RU1309的计划都给泡汤了。" 2013-06-13 "1096 次阅读" "http://blog.sciencenet.cn/blog-556556-699071.html"
"110" "RU1309该涨了" 2013-06-11 "1074 次阅读" "http://blog.sciencenet.cn/blog-556556-698540.html"
"111" "放假了，娱乐一下" 2013-06-09 "1012 次阅读" "http://blog.sciencenet.cn/blog-556556-698100.html"
"112" "[转载]一篇评价牛顿的牛文！" 2013-06-07 "1121 次阅读" "http://blog.sciencenet.cn/blog-556556-697434.html"
"113" "2012年中国和日本所交保护费的比较" 2013-06-03 "1301 次阅读" "http://blog.sciencenet.cn/blog-556556-696205.html"
"114" "悲催的人民币" 2013-06-02 "1450 次阅读" "http://blog.sciencenet.cn/blog-556556-695802.html"
"115" "[转载]二维码也可以这样用" 2013-06-01 "2108 次阅读" "http://blog.sciencenet.cn/blog-556556-695691.html"
"116" "现代版的头悬梁" 2013-05-28 "1109 次阅读" "http://blog.sciencenet.cn/blog-556556-694393.html"
"117" "[转载]测度论简介------一个通往异世界的大门（四）" 2013-05-27 "1945 次阅读" "http://blog.sciencenet.cn/blog-556556-693993.html"
"118" "[转载]测度论简介------一个通往异世界的大门（三）" 2013-05-27 "1925 次阅读" "http://blog.sciencenet.cn/blog-556556-693855.html"
"119" "[转载]测度论简介------一个通往异世界的大门（二）" 2013-05-26 "1665 次阅读" "http://blog.sciencenet.cn/blog-556556-693704.html"
"120" "[转载]测度论简介------一个通往异世界的大门（一）" 2013-05-26 "1485 次阅读" "http://blog.sciencenet.cn/blog-556556-693563.html"
"121" "[转载]中国历朝历代官方语言一览" 2013-05-20 "1355 次阅读" "http://blog.sciencenet.cn/blog-556556-691712.html"
"122" "[转载]专家论证：明洪武赶散苏州土著全变为苏北人" 2013-05-19 "1284 次阅读" "http://blog.sciencenet.cn/blog-556556-691554.html"
"123" "历代状元分布看南北差异" 2013-05-12 "2164 次阅读" "http://blog.sciencenet.cn/blog-556556-689187.html"
"124" "[转载]中国汉语方言图" 2013-05-01 "4637 次阅读" "http://blog.sciencenet.cn/blog-556556-685682.html"
"125" "看来是要逆天了" 2013-04-27 "1443 次阅读" "http://blog.sciencenet.cn/blog-556556-684585.html"
"126" "[转载]美美也疯狂" 2013-04-26 "1033 次阅读" "http://blog.sciencenet.cn/blog-556556-684251.html"
"127" "[转载]研究匈奴历史，看到飞将军李广这一段，震惊了" 2013-04-24 "1366 次阅读" "http://blog.sciencenet.cn/blog-556556-683641.html"
"128" "速度，加速度的统一" 2013-04-24 "1194 次阅读" "http://blog.sciencenet.cn/blog-556556-683635.html"
"129" "[转载]地震专家严正公告" 2013-04-22 "781 次阅读" "http://blog.sciencenet.cn/blog-556556-682876.html"
"130" "完美均衡再次出现" 2013-04-17 "1078 次阅读" "http://blog.sciencenet.cn/blog-556556-681063.html"
"131" "豆粕套利，对称点如期到达" 2013-04-15 "1214 次阅读" "http://blog.sciencenet.cn/blog-556556-680391.html"
"132" "[转载]汉人的复仇---“屠胡令”" 2013-04-14 "2223 次阅读" "http://blog.sciencenet.cn/blog-556556-680032.html"
"133" "用R实现微观经济学的供求曲线" 2013-04-13 "1373 次阅读" "http://blog.sciencenet.cn/blog-556556-679848.html"
"134" "豆粕套利，多头要小心了。" 2013-04-12 "1047 次阅读" "http://blog.sciencenet.cn/blog-556556-679598.html"
"135" "[转载]南京和广陵．从历史客观看" 2013-04-08 "1232 次阅读" "http://blog.sciencenet.cn/blog-556556-678344.html"
"136" "油菜花和二月兰" 2013-04-05 "3557 次阅读" "http://blog.sciencenet.cn/blog-556556-677075.html"
"137" "[转载]江浙文化传统" 2013-04-03 "1359 次阅读" "http://blog.sciencenet.cn/blog-556556-676658.html"
"138" "古庞德抬棺战关羽，今农民抬棺保良田" 2013-04-03 "1949 次阅读" "http://blog.sciencenet.cn/blog-556556-676521.html"
"139" "豆粕套利的多头折磨快到头了" 2013-04-02 "1231 次阅读" "http://blog.sciencenet.cn/blog-556556-676250.html"
"140" "[转载]一分钟教你懂主流经济学" 2013-04-01 "1042 次阅读" "http://blog.sciencenet.cn/blog-556556-675994.html"
"141" "豆粕套利的多头今天才算有点轻松" 2013-03-29 "1129 次阅读" "http://blog.sciencenet.cn/blog-556556-675014.html"
"142" "[转载]概率分布之间的关系" 2013-03-28 "2120 次阅读" "http://blog.sciencenet.cn/blog-556556-674777.html"
"143" "[转载]进一步做大南京旅游应按照时代要求寻找新的“点位”" 2013-03-27 "1083 次阅读" "http://blog.sciencenet.cn/blog-556556-674410.html"
"144" "豆粕1309-1401套利" 2013-03-22 "1336 次阅读" "http://blog.sciencenet.cn/blog-556556-672894.html"
"145" "久期的计算" 2013-03-18 "1818 次阅读" "http://blog.sciencenet.cn/blog-556556-671503.html"
"146" "卖出碟式套利" 2013-03-17 "1925 次阅读" "http://blog.sciencenet.cn/blog-556556-671180.html"
"147" "新殖民主义就是厉害" 2013-03-17 "1175 次阅读" "http://blog.sciencenet.cn/blog-556556-670998.html"
"148" "[转载]图解货币超发与房价的关系" 2013-03-16 "1304 次阅读" "http://blog.sciencenet.cn/blog-556556-670876.html"
"149" "均匀分布 ALL IN ONE" 2013-03-16 "1586 次阅读" "http://blog.sciencenet.cn/blog-556556-670741.html"
"150" "累积概率，分布密度 ALL IN ONE" 2013-03-15 "1827 次阅读" "http://blog.sciencenet.cn/blog-556556-670608.html"
"151" "平息债券的计算" 2013-03-13 "2150 次阅读" "http://blog.sciencenet.cn/blog-556556-670008.html"
"152" "历史惊人的相似" 2013-03-10 "1531 次阅读" "http://blog.sciencenet.cn/blog-556556-668970.html"
"153" "由广告引发的误会" 2013-03-10 "1278 次阅读" "http://blog.sciencenet.cn/blog-556556-668904.html"
"154" "[转载]GDP10年翻两番，注水量至少50%" 2013-03-09 "1410 次阅读" "http://blog.sciencenet.cn/blog-556556-668685.html"
"155" "净收益的计算" 2013-03-09 "1055 次阅读" "http://blog.sciencenet.cn/blog-556556-668611.html"
"156" "[转载]　沁园春 霾 (北京版)" 2013-03-06 "1714 次阅读" "http://blog.sciencenet.cn/blog-556556-667623.html"
"157" "卖房征20%所得税的效果" 2013-03-02 "1266 次阅读" "http://blog.sciencenet.cn/blog-556556-666590.html"
"158" "跨期套利" 2013-02-26 "1336 次阅读" "http://blog.sciencenet.cn/blog-556556-665322.html"
"159" "套利交易" 2013-02-25 "1599 次阅读" "http://blog.sciencenet.cn/blog-556556-665047.html"
"160" "好厉害的老太太" 2013-02-24 "1295 次阅读" "http://blog.sciencenet.cn/blog-556556-664638.html"
"161" "货币政策对商品市场和外汇市场的影响" 2013-02-22 "1289 次阅读" "http://blog.sciencenet.cn/blog-556556-664162.html"
"162" "二叉树模型的改进版" 2013-02-14 "1800 次阅读" "http://blog.sciencenet.cn/blog-556556-661817.html"
"163" "二叉树模型的计算" 2013-02-13 "1954 次阅读" "http://blog.sciencenet.cn/blog-556556-661556.html"
"164" "Black-Scholes 欧式期权计算" 2013-02-12 "1442 次阅读" "http://blog.sciencenet.cn/blog-556556-661395.html"
"165" "[转载]江南春新解" 2013-02-09 "1083 次阅读" "http://blog.sciencenet.cn/blog-556556-660746.html"
"166" "普通最小二乘法OLS，总体最小二乘法TLS用那一个" 2013-02-06 "5514 次阅读" "http://blog.sciencenet.cn/blog-556556-660074.html"
"167" "用R检验两支股票是否协整" 2013-02-05 "4315 次阅读" "http://blog.sciencenet.cn/blog-556556-659763.html"
"168" "金融市场预测的基石--中心极限定理" 2013-02-02 "2722 次阅读" "http://blog.sciencenet.cn/blog-556556-658850.html"
"169" "AR(P)的根在哪里。" 2013-01-31 "1334 次阅读" "http://blog.sciencenet.cn/blog-556556-658093.html"
"170" "不靠谱的ARIMA【周一验证】" 2013-01-28 "1280 次阅读" "http://blog.sciencenet.cn/blog-556556-657215.html"
"171" "[转载]南北朝和五代十国的对称性" 2013-01-27 "6762 次阅读" "http://blog.sciencenet.cn/blog-556556-656953.html"
"172" "不靠谱的ARIMA预测" 2013-01-26 "2322 次阅读" "http://blog.sciencenet.cn/blog-556556-656757.html"
"173" "有时 R “不太友好”" 2013-01-25 "5267 次阅读" "http://blog.sciencenet.cn/blog-556556-656506.html"
"174" "ggplot2画分时图" 2013-01-21 "3919 次阅读" "http://blog.sciencenet.cn/blog-556556-655268.html"
"175" "[转载]2012这一年" 2013-01-19 "1092 次阅读" "http://blog.sciencenet.cn/blog-556556-654668.html"
"176" "工资倍增" 2013-01-19 "1201 次阅读" "http://blog.sciencenet.cn/blog-556556-654663.html"
"177" "[转载]城镇化的陷阱：中华民族再次到了最危险的时候" 2013-01-13 "1132 次阅读" "http://blog.sciencenet.cn/blog-556556-652603.html"
"178" "[转载]2013：中国的拐点，左转还是继续向右？" 2013-01-11 "1387 次阅读" "http://blog.sciencenet.cn/blog-556556-652097.html"
"179" "天下事，合久必分，分久必合" 2013-01-01 "2579 次阅读" "http://blog.sciencenet.cn/blog-556556-648526.html"
"180" "封闭经济中的投资与储蓄" 2012-12-29 "2878 次阅读" "http://blog.sciencenet.cn/blog-556556-647529.html"
"181" "消费物价指数CPI的计算" 2012-12-27 "1473 次阅读" "http://blog.sciencenet.cn/blog-556556-646864.html"
"182" "真实GDP，名义GDP，GDP平减指数的计算" 2012-12-26 "5552 次阅读" "http://blog.sciencenet.cn/blog-556556-646623.html"
"183" "中华杀戮史" 2012-11-09 "2010 次阅读" "http://blog.sciencenet.cn/blog-556556-630886.html"
"184" "时间与空间联系的纽带—频率" 2012-11-03 "1859 次阅读" "http://blog.sciencenet.cn/blog-556556-628898.html"
"185" "R语言：Project Euler Problem 53" 2012-11-01 "1714 次阅读" "http://blog.sciencenet.cn/blog-556556-628147.html"
"186" "R语言：Project Euler Problem 52" 2012-10-30 "1400 次阅读" "http://blog.sciencenet.cn/blog-556556-627672.html"
"187" "R语言：Project Euler Problem 51" 2012-10-27 "1658 次阅读" "http://blog.sciencenet.cn/blog-556556-626568.html"
"188" "R语言：Project Euler Problem 50" 2012-10-26 "1563 次阅读" "http://blog.sciencenet.cn/blog-556556-626413.html"
"189" "R语言：Project Euler Problem 49" 2012-10-25 "1689 次阅读" "http://blog.sciencenet.cn/blog-556556-626130.html"
"190" "R语言：Project Euler Problem 48" 2012-10-19 "1394 次阅读" "http://blog.sciencenet.cn/blog-556556-624276.html"
"191" "R语言：Project Euler Problem 47" 2012-10-19 "1399 次阅读" "http://blog.sciencenet.cn/blog-556556-624275.html"
"192" "R语言：Project Euler Problem 46" 2012-10-18 "1384 次阅读" "http://blog.sciencenet.cn/blog-556556-623938.html"
"193" "R语言：Project Euler Problem 45" 2012-10-16 "1223 次阅读" "http://blog.sciencenet.cn/blog-556556-623037.html"
"194" "R语言：Project Euler Problem 44" 2012-10-13 "1427 次阅读" "http://blog.sciencenet.cn/blog-556556-622069.html"
"195" "R语言：Project Euler Problem 43" 2012-10-12 "1555 次阅读" "http://blog.sciencenet.cn/blog-556556-621764.html"
"196" "R语言：Project Euler Problem 42" 2012-10-11 "1152 次阅读" "http://blog.sciencenet.cn/blog-556556-621461.html"
"197" "R语言：Project Euler Problem 41" 2012-10-10 "1337 次阅读" "http://blog.sciencenet.cn/blog-556556-621048.html"
"198" "R语言：Project Euler Problem 40" 2012-10-09 "1219 次阅读" "http://blog.sciencenet.cn/blog-556556-620580.html"
"199" "R语言：Project Euler Problem 39" 2012-10-08 "1539 次阅读" "http://blog.sciencenet.cn/blog-556556-620318.html"
"200" "R语言：Project Euler Problem 38" 2012-10-07 "1247 次阅读" "http://blog.sciencenet.cn/blog-556556-620011.html"
"201" "R语言：Project Euler Problem 37" 2012-10-05 "1304 次阅读" "http://blog.sciencenet.cn/blog-556556-619480.html"
"202" "R语言：Project Euler Problem 36" 2012-09-27 "1107 次阅读" "http://blog.sciencenet.cn/blog-556556-617312.html"
"203" "R语言：Project Euler Problem 35" 2012-09-26 "1504 次阅读" "http://blog.sciencenet.cn/blog-556556-616913.html"
"204" "R语言：Project Euler Problem 34" 2012-09-25 "1148 次阅读" "http://blog.sciencenet.cn/blog-556556-616647.html"
"205" "EUR/USD-20120924 at night" 2012-09-24 "1048 次阅读" "http://blog.sciencenet.cn/blog-556556-616379.html"
"206" "EUR/USD-20120924" 2012-09-24 "1027 次阅读" "http://blog.sciencenet.cn/blog-556556-616347.html"
"207" "R语言：Project Euler Problem 33" 2012-09-24 "1470 次阅读" "http://blog.sciencenet.cn/blog-556556-616288.html"
"208" "[转载]耻辱的GDP" 2012-09-23 "1347 次阅读" "http://blog.sciencenet.cn/blog-556556-616137.html"
"209" "R语言：Project Euler Problem 32" 2012-09-23 "1278 次阅读" "http://blog.sciencenet.cn/blog-556556-615990.html"
"210" "R语言：Project Euler Problem 31" 2012-09-22 "1206 次阅读" "http://blog.sciencenet.cn/blog-556556-615815.html"
"211" "分形最美48" 2012-09-21 "1169 次阅读" "http://blog.sciencenet.cn/blog-556556-615115.html"
"212" "R语言：Project Euler Problem 30" 2012-09-21 "1357 次阅读" "http://blog.sciencenet.cn/blog-556556-614993.html"
"213" "R语言：Project Euler Problem 29" 2012-09-20 "1972 次阅读" "http://blog.sciencenet.cn/blog-556556-614659.html"
"214" "R语言：Project Euler Problem 28" 2012-09-20 "1137 次阅读" "http://blog.sciencenet.cn/blog-556556-614604.html"
"215" "分形最美47" 2012-09-19 "905 次阅读" "http://blog.sciencenet.cn/blog-556556-614396.html"
